2021-01-19 16:56:14    49.2    19.8    119.17    
2021-01-19 16:58:01    49.3    19.8    113.33    
2021-01-19 17:01:23    49.8    19.7    106.67    
2021-01-19 17:04:34    50.0    19.7    85.0    
2021-01-19 17:04:37    50.0    19.7    63.33    
2021-01-19 17:04:44    50.0    19.7    63.33    
2021-01-19 17:04:54    50.0    19.7    62.5    
2021-01-19 17:05:04    50.2    19.6    61.67    
2021-02-25 12:49:05    55.1    24.5    554.17    
2021-03-11 14:55:39    53.8    25.5    559.17    
2021-03-11 20:06:35    54.7    24.3    0.0    
2021-05-14 17:37:35    28.9    29.0    207.5    
2021-05-14 18:00:48    40.0    29.1    0.0    
2021-05-14 18:01:08    40.2    29.1    0.0    
2021-05-14 19:04:03    41.1    29.1    257.5    
2021-05-14 19:05:27    41.0    29.1    437.5    
2021-05-14 19:05:46    41.1    29.1    440.0    
2021-05-20 14:14:37    20.1    47.0    43490.83    
2021-05-20 16:02:27    25.7    39.6    29271.67    
2021-05-20 16:48:08    37.2    33.9    5427.5    61.48582600195503    
2021-05-20 16:49:09    37.3    33.8    5341.67    61.3880742913001    
2021-05-24 18:54:53    51.0    31.7    0.0    0.0    
2021-05-24 18:55:08    51.1    31.7    481.67    0.0    
2021-05-24 18:55:13    50.9    31.7    348.33    0.0    
2021-05-24 18:55:17    50.8    31.7    336.67    0.0    
2021-06-02 15:48:03    53.4    32.2    481.67    93.74389051808407    
2021-06-02 15:50:08    56.2    32.4    796.67    99.41348973607037    
2021-06-02 16:02:02    54.8    32.9    818.33    99.90224828934507    
2021-06-02 17:46:37    55.5    32.4    5089.17    61.58357771260997    
2021-06-20 21:51:15    0.0    0.0    0.0    68.52394916911047    
2021-06-26 11:47:26    54.2    33.6    15450.83    66.47116324535679    
2021-06-26 11:51:56    53.8    33.7    28145.83    66.08015640273705    
2021-06-30 13:34:37    49.9    35.9    28779.17    3.910068426197455    
2021-06-30 13:37:18    49.4    36.2    25222.5    6.451612903225808    
2021-06-30 13:38:29    48.5    36.3    23907.5    3.5190615835777095    
2021-06-30 13:39:59    49.0    36.4    23421.67    0.0    
2021-06-30 13:40:05    48.2    36.4    23266.67    36.070381231671554    
2021-06-30 13:40:10    47.6    36.4    23465.83    0.0    
2021-06-30 13:40:13    47.5    36.4    14542.5    24.437927663734115    
2021-06-30 13:40:27    36.8    36.3    23540.83    0.0    
2021-06-30 13:40:32    40.7    36.3    23428.33    0.0    
2021-06-30 13:40:37    43.8    36.3    23308.33    0.0    
2021-06-30 13:41:45    41.0    36.3    22240.0    1.66    
2021-06-30 13:41:51    43.8    36.3    22100.83    0.0    
2021-06-30 13:41:54    46.4    36.3    22065.0    1.86    
2021-06-30 13:42:04    48.4    36.3    22040.83    53.86    
2021-06-30 13:42:15    47.4    36.3    21999.17    7.14    
2021-06-30 14:09:49    48.0    36.3    28688.33    0    
2021-06-30 14:17:48    44.6    36.7    25190.83    58    
2021-06-30 14:17:56    45.9    36.7    28966.67    57    
2021-06-30 14:18:00    46.8    36.7    29956.67    56    
2021-06-30 14:19:41    46.0    36.9    30005.0    66    
2021-07-15 15:47:11    75.3    28.4    674.17    100    
2021-07-15 15:47:17    75.8    28.4    554.17    100    
2021-07-15 15:47:48    74.6    28.4    579.17    100    
2021-07-15 15:49:59    74.3    28.1    708.33    71    
2021-07-15 15:50:53    75.1    28.1    550.83    71    
2021-07-15 15:52:46    75.2    28.2    430.0    8    
2021-07-15 15:52:51    75.2    28.2    636.67    29    
2021-07-15 15:52:55    75.1    28.2    659.17    51    
2021-07-15 15:52:59    75.0    28.2    674.17    38    
2021-07-15 15:53:04    75.0    28.2    690.0    55    
2021-07-15 15:53:11    74.5    28.2    706.67    55    
2021-07-15 15:53:24    75.0    28.3    731.67    96    
2021-07-15 15:53:35    74.4    28.3    766.67    94    
2021-07-15 17:53:04    73.4    28.8    540.0    89    
2021-07-15 17:53:16    73.4    28.9    545.83    89    
